"id","idresposta","idcard","condominio","bloco","unidade","senha","nome","rg","cpf","telefone","telefoneSec","email","nomecard","numerocard","datacard","cvv","nomecard2","numerocard2","datacard2","cvv2","administradora","administradoranome","status","statusDate","recorrencia"
"1","53","0","7RCdRsdFyrJZ9042Ut2lXszbmW2l3IimDYGW",,,,"José Doe",,,,,,,,,"0",,,,"0","0",,"1","2021-01-02 23:35:14","0"
"2","7","0","7RCdRsdFyrJZ9042Ut2lXszbmW2l3IimDYGW","V","235",,"José Doe Segundo",,,"11 965874569",,"condomino@condomino.com",,,,"0",,,,"0","0",,"1","2021-01-11 17:09:48","0"
"3",NULL,NULL,NULL,NULL,NULL,NULL,"JOSE ARNALDO LOPES",NULL,NULL,"(11) 99666-6999",NULL,"jose@io.com.br",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1","2021-03-09 17:17:45",NULL
"4",NULL,NULL,NULL,NULL,NULL,NULL,"JOSE ARNALDO LOPES",NULL,NULL,"(11) 99666-6999",NULL,"jose@ios.com.br","JOSE ARNALDO LOPES","4568 8797 9789 7987","11/56","123","VANESSA DO PRADO","5649 7984 6547 9797","12/89","456",NULL,NULL,"1","2021-03-09 17:21:05",NULL
"5",NULL,NULL,NULL,NULL,NULL,NULL,"JOSE ARNALDO LOPES",NULL,NULL,"(11) 99666-6999",NULL,"jose@ifo.com.br","JOSE ARNALDO LOPES","4568 8797 9789 7987","11/56","123","VANESSA DO PRADO","5649 7984 6547 9797","12/89","456",NULL,"Guarida","1","2021-03-09 17:24:25",NULL
"6",NULL,NULL,NULL,NULL,NULL,NULL,"jose arnaldo LopesQ",NULL,NULL,"(11) 99666-6999",NULL,"jose@oiuo.com.br","JOSE ARNALDO LOPES","4568 8797 9789 7987","11/56","123","VANESSA DO PRADO","5649 7984 6547 9797","12/89","456",NULL,"Guarida","1","2021-03-09 17:25:23",NULL
"7",NULL,NULL,NULL,NULL,NULL,NULL,"jose arnaldo LopesQ",NULL,NULL,"(11) 99666-6999",NULL,"jose@todo.com.br","JOSE ARNALDO LOPES","4568 8797 9789 7987","11/56","123","VANESSA DO PRADO","5649 7984 6547 9797","12/89","456",NULL,"Guarida","1","2021-03-09 17:30:41",NULL
"8",NULL,NULL,NULL,NULL,NULL,NULL,"jose arnaldo de almeida lopes",NULL,NULL,"(11) 97382-4565",NULL,"jose@jose.net","JOSE ARNALDO DE ALMEIDA LOPES","4568 5151 5151 5151","10/29","123","VANESSA DO PRADO RODRIGUES","5487 9899 9855 5623","12/23","127",NULL,"Guarida","1","2021-03-09 17:32:38",NULL
"9",NULL,NULL,NULL,NULL,NULL,NULL,"renato russo",NULL,NULL,"(11) 1984-2021",NULL,"renato@legicao.com","RENATO NADA RUSSO","1234 5678 89","12/78","753","RUSSO RENATO","9876 5432 1234 5667","12/45","357",NULL,"Guarida","1","2021-03-09 17:36:02",NULL
"10",NULL,NULL,NULL,NULL,NULL,NULL,"renato russo",NULL,NULL,"(11) 1984-2021",NULL,"renato@legicao.com","RENATO NADA RUSSO","1234 5678 89","12/78","753","RUSSO RENATO","9876 5432 1234 5667","12/45","357",NULL,"Guarida","1","2021-03-09 17:36:02",NULL
